-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.695312 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.745125999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.794939999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.844833999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.894566 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.944378 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.994192 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           11.045046 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           11.093817999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           11.14363 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           11.193444 (sec)
